qstr_Next_Page|Další strana 
qstr_Game_Rules:^|Pravidla hry:^
qstr_0|0
qstr_Show_game_rules|Zobrazit pravidla hry
qstr_Continue...|Pokračovat...
qstr_Candidate_#1:_{s1}|Kandidát #1: {s1}
qstr_Candidate_#2:_{s1}|Kandidát #2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} z {s4} si přeje vybrat nového maršála a pozval své vazaly na poradu. Pravděpodobnými kandidáty jsou {s1} a {s2}.
qstr_Who_do_you_wish_to_s|Koho chceš podporovat?
qstr_{s1}_gives_his_suppo|{s1} vyjadřuje svou podporu kandidátovi jménem {s2}.
qstr_Number_of_Supporters|Počet stoupenců: {reg0}
qstr_{s2}_has_heard_his_v|{s2} vyslechl rady svých vazalů. Vybral za maršála {s3} kandidáta {s1}.
qstr_Action|Akce
qstr_Mount|Koně
qstr_Attack_Type|Typ útoku
qstr_Stand_Ground|Zůstat na místě
qstr_Charge|Do útoku
qstr_Follow_Me|Za mnou
qstr_Hold_This_Position|Držet pozici
qstr_Spread_Out|Rozptýlit se
qstr_Stand_Closer|Držet se blíž
qstr_Fall_Back|Stáhnout se
qstr_Advance|Postupovat
qstr_Dismount|Sesednout
qstr_Fire_At_Will|Střílet dle libosti
qstr_Hold_Your_Fire|Nestřílet
qstr_Use_Blunt_Weapons|Použít tupé zbraně
qstr_Use_Any_Weapon|Použít jakoukoliv zbraň
qstr_Ready|Připraveno
qstr_Wounded|Zraněno
qstr_Dead|Zabito
qstr_Number_of_men_knocke|Počet omráčených mužů: {reg1}
qstr_Number_of_men_left:_|Počet opuštěných mužů: {reg1}
qstr_Opponents_Beaten:_{r|Poražení protivníci: {reg1}
qstr_Opponents_Remaining:|Zbývající protivníci: {reg1}
qstr_Remain_in_retirement|Zůstat na odpočinku.
qstr_Go_back_to_the_adven|Vrátit se k dobrodružnému životu.
qstr_You_have_retired_at_|Na {reg4}. úrovni ses po {reg5} dnech dobrodružného života odebral na odpočinek.
qstr_Effect_on_Score|Účinek na hodnocení
qstr_Settlements_owned_by|Počet sídlišť, která vlastníš: {reg0}
qstr_Friendly_Settlements|Přátelská sídliště: {reg0}
qstr_Hostile_Settlements:|Nepřátelská sídliště: {reg0}
qstr_Friendly_Lords:_{reg|Přátelští lordi: {reg0}
qstr_Enemy_Lords:_{reg0}|Nepřátelští lordi: {reg0}
qstr_Victories:_{reg0}|Vítězství: {reg0}
qstr_Defeats:_{reg0}|Porážky: {reg0}
qstr_Quests_Completed:_{r|Dokončené úkoly: {reg0}
qstr_Companions_Found:_{r|Nalezení společníci: {reg0}
qstr_Companions_Lost/Depa|Ztracení/opustivší společníci: {reg0} 
qstr_Wealth:_{reg0}_denar|Majetek: {reg0} denárů 
qstr_Inventory:_{reg0}_de|Inventář: {reg0} denárů 
qstr_Renown:_{reg0}|Sláva: {reg0} 
qstr_Experience:_{reg0}|Zkušenosti: {reg0}
qstr_Days_Passed:_{reg0}|Uplynulo dní: {reg0}
qstr_Difficulty:_{reg0}%|Obtížnost: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|CELKOVÉ HODNOCENÍ: {reg0}
qstr_None|Nic
qstr_{s1}_of_{s3}_was_def|{s1} z {s3} byl poražen v bitvě, ale podařilo se mu uprchnout.
qstr_{s54}_is_a_claimant_|{s54} si dělá nárok na trůn země {s56}.
qstr_nowhere|nikde
qstr_{s57}_and_{s58}|{s57} a {s58}
qstr_{reg3?She:He}|{reg3?Ona:On}
qstr_The_town_of_{s50}|Město {s50}
qstr_The_village_of_{s50}|Vesnice {s50}, poblíž které leží {s52},
qstr_{s51}_belongs_to_{s1|Vládcem sídla {s51} je {s1} v říše {s2}.^
qstr_{s7}_and_{s8}|{s7} a {s8}
qstr_{s2}It_has_no_villag|{s2}Zde nejsou žádné vesnice.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Patří mu vesnice:Patří mu vesnice} {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Bohatství: {s50}
qstr_noone|nikdo
qstr_{s9}_and_{s10}|{s9} a {s10}
qstr_{s5}_has_been_defeat|{s5} byl poražen!
qstr_{s7}_opened_the_gate|{s7} otvírá bránu
qstr_{s7}_closed_the_gate|{s7} zavírá bránu
qstr_+{reg1}_to_party_mor|+{reg1} k morálce družiny
qstr_Requires_{reg1}_inte|Přečtení vyžaduje inteligenci {reg1} 
qstr_Reading_Progress:_{r|Průběh čtení: {reg1}%
qstr_wound_treament|léčení ran
qstr_trainer|trenér
qstr_surgery|operace
qstr_+1_to_{s1}_while_in_|+1 k {s1} když je v inventáři
qstr_Move_here|Přesunout sem
qstr_View_notes|Prohlédnout si poznámky
qstr_Accompany|Přidružit se
qstr_killed|smrt
qstr_wounded|zranění
qstr_{s0}^TOTAL:_{reg3}__|{s0}^CELKEM: {reg3} ({s2})
qstr_^None|^Žádné
qstr_nothing|nic
qstr_{reg0}_village{reg1?|{reg0} vesnice{reg1?s:}
qstr_{reg0}_castle{reg1?s|{reg0} hrad{reg1?s:}
qstr_{reg0}_castle{reg1?s:|{reg0} hrad{reg1?s:} a {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} město{reg1?s:}
qstr_{reg0}_town{reg1?s:}_|{reg0} město{reg1?s:} a {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} město{reg1?s:}, {s0}
qstr_Your_opponents_are_r|Tví protivníci jsou připraveni na souboj.
qstr_Try_to_destroy_as_ma|Pokus se zničit co nejvíce terčů. Na vyčištění dráhy máš dvě a půl minuty.
qstr_Stay_behind_the_line|Zůstaň za čárou na zemi a střílej na terče. Snaž se nepromrhat ani jeden šíp.
qstr_Battle_Advantage_=_{|Poměr sil = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} chce, abys dále {šel/šla} za jeho armádou, dokud ti nedá jiný pokyn.
qstr__Being_Raided_|(probíhá přepadení)
qstr__Looted_|(vydrancováno)
qstr__Under_Siege_|(v obležení)
qstr_The_village_of_{s1}_|Vesnice {s1} byla vydrancována nájezdníky, kterými byli {s2}.
qstr_{s3}_is_no_longer_un|{s3} už není v obležení.
qstr_Small_bands_of_enemi|Tam, kde leží {s1}, byla spatřena malá tlupa nepřátel.
qstr_Enemy_patrols_spotte|Tam, kde leží {s1}, byly spatřeny nepřátelské hlídky.
qstr_Medium_sized_group_o|Tam, kde leží {s1}, byla spatřena středně velká skupina nepřátel.
qstr_Significant_group_of|Tam, kde leží {s1}, byla spatřena poměrně velká skupina nepřátel.
qstr_Army_of_enemies_spot|Tam, kde leží {s1}, byla spatřena armáda nepřátel.
qstr_Large_army_of_enemie|Tam, kde leží {s1}, byla spatřena velká armáda nepřátel.
qstr_Great_host_of_enemie|Tam, kde leží {s1}, byla spatřena obrovská spousta nepřátel.
qstr_{s1}_has_been_besieg|{s1} právě obléhá {s2} z říše {s3}.
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}: {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s1}_is_the_new_mars|{s1} je novým maršálem von {s2}.
qstr_You_gained_{reg12}_r|Sláva zvýšena o {reg12}.
qstr_You_lose_{reg12}_ren|Sláva snížena o {reg12}.
qstr_Your_relation_with_{|Tvůj vztah s místem {s1} se zlepšil.
qstr_Your_relation_with_{s|Tvůj vztah s místem {s1} se zhoršil.
qstr_You_gain_honour.|{Získal/Získala} jsi čest.
qstr_You_lose_honour.|{Ztratil/Ztratila} jsi čest.
qstr_{s1}_has_declared_wa|{s1} vyhlašuje válku říši {s2}.
qstr_{s1}_and_{s2}_have_m|{s1} a {s2} spolu uzavřeli mír. 
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?před nedávnem byl:je právě teď} v sídle zvaném {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} cestuje do {s3} a {reg3?byl:měl by být} poblíž {s4}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?byl:je} v poli a {reg3?byl:měl by být} nedaleko místa, kde leží {s3}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?byl:je} držen jako zajatec v {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?byl:byl} zajat {reg4?jejími:jeho} nepřáteli.
qstr_{reg3?{s2}_s_locatio|{reg3?{s2} pobyt nebyl znám:Nevím, kde {s2} je}.
qstr_{s6}_has_joined_your|{s6} se přidává ke tvé družině
qstr_You_now_owe_{reg2}_d|Dlužíš teď {s1} částku {reg2} denárů.
qstr_Renown_value_for_thi|Za vítězství v této bitvě získáš {reg8} bodů slávy.
qstr_You_have_run_into_a_|{Vlezl/Vlezla} jsi do pasti!
qstr_You_are_attacked_by_|Zaútočila na tebe skupina banditů!
qstr_Holding|Drží pozici
qstr_Following|Následují
qstr_Charging|Útočí
qstr_Advancing|Postupují 
qstr_Falling_Back|Stahují se
qstr_Standing_Closer|Drží se pohromadě
qstr_Spreading_Out|Rozptylují se
qstr_Standing|Stojí
qstr_N/A|N/A
qstr_Free|bez rozkazu
qstr_Any_Weapon|Jakákoliv zbraň
qstr_Blunt_Weapons|Drtivé zbraně
qstr_{s1}_Rebels|{s1} Vzbouřenci
qstr_Given_by:_{s62}|Úkol zadal: {s62}
qstr_Given_on:_{s60}|Zadáno: {s60}
qstr_You_have_{reg0}_days|K dokončení tohoto úkolu ti zbývá {reg0} dní.
qstr_This_quest_has_been_|Tento úkol už skončil. {s59} očekává hlášení.
qstr_This_quest_has_been_s|Tento úkol jsi úspěšně {dokončil/dokončila}. {s59} ti teď předá zaslouženou odměnu.
qstr_This_quest_has_faile|Tento úkol se nepodařilo splnit. Promluv si s jeho zadavatelem ({s59}) a vysvětli mu situaci.
qstr_At_the_time_quest_wa|Ve chvíli, kdy byl úkol zadán:^{s1}
qstr_{s5}_has_a_strength_|{s5} má dohromady sílu {reg1} mužů.
qstr_The_last_time_you_sa|Naposledy jsi {reg1?ji:ho} {viděl/viděla}, jak {s1}
qstr_The_last_time_you_he|Naposledy jsi o {reg1?ní:něm} {slyšel/slyšela}, {s1}
qstr_Current_garrison_con|Stávající posádka se skládá z {reg5} mužů.^Mají zásoby jídla na {reg6} dní.
qstr_Very_Poor|Velmi malé
qstr_Poor|Malé
qstr_Average|Průměrné
qstr_Rich|Velké
qstr_Very_Rich|Obrovské
qstr_Manor|Sídlo
qstr_A_manor_lets_you_res|Díky sídlu můžeš ve vesnici odpočívat a během odpočinku svým vojákům platíš jen poloviční mzdu.
qstr_Mill|Mlýn
qstr_A_mill_increases_vil|Mlýn zvyšuje prosperitu vesnice o 5 %.
qstr_Watch_Tower|Hlídková věž
qstr_A_watch_tower_lets_t|Hlídková věž umožňuje vesničanům dříve upozornit na nebezpečí. Doba, kterou nepřátelé potřebují na vydrancování vesnice, se zvyšuje o 50 %.
qstr_School|Škola
qstr_A_shool_increases_th|Škola každý měsíc zvyšuje věrnost vesničanů vůči tobě o +1.
qstr_Messenger_Post|Stanice kurýrů
qstr_A_messenger_post_let|Pokud máš ve vesnici stanici kurýrů, dostaneš zprávu vždy, když se poblíž ocitnou nepřátelé, a to i když se nacházíš daleko odsud.
qstr_Prison_Tower|Vězeňská věž
qstr_A_prison_tower_reduc|Vězeňská věž snižuje pravděpodobnost, že se zde drženým vězňům podaří utéci.
qstr_Prosperity_of_{s2}_h|Bohatství obce jménem {s2} se změnilo, bylo {s3} a teď je {s4}.
qstr_{s4}_looks_upset.|{s4} vypadá rozzlobeně.
qstr_your_party|tvoje družina
qstr_{reg0?One_of_your_pr|{reg0?Jeden z našich vězňů,:} {s1} z {s3} utekl ze zajetí!
qstr_You_brought_{reg3}_h|{Přihnal/Přihnala} jsi k {s1} celkem {reg3} kusů dobytka.
qstr_I_heard_that_there_w|Doneslo se ke mně, že se ve městě {s62} bude brzy konat turnaj.
qstr_I_heard_that_one_can|Slyšel jsem, že se v {s63} dá velmi lacino koupit {s62}.
qstr_I_heard_that_they_pa|Slyšel jsem, že se v {s63} vykupují {s62} za velmi vysoké ceny.
qstr_two_days_ago|předevčírem
qstr_Best_threat_of_{s4}_|Nejlepší hrozba {s4} má hodnotu {reg1}
qstr_No_center_found_to_d|Nebylo nalezeno žádné středisko, které by bylo třeba bránit.
qstr_You_gain_right_to_ru|Získáváš právo vládnout.
qstr_You_lose_right_to_ru|Ztrácíš právo vládnout.
qstr_You_got_keys_of_dung|Získáváš klíče k žaláři.
qstr_You_must_stay_behind|Musíš zůstat stát za čárou na zemi! Bod se nepočítá.
qstr_Tutorial|Výuka
qstr_You_came_into_the_wo|Jsi {reg3?dcerou:synem} uvadající šlechtické rodiny, která vlastnila pouze dům, v němž žila. Navzdory všem nesnázím ti ale dopřáli dobré vzdělání a už od dětství tě vedli k aristokratickým mravům a pravidlům života u dvora.
qstr_You_were_born_the_{r|Jsi {reg3?dcerou:synem} rodiny kočovných obchodníků, kteří neustále cestovali z místa na místo za ziskem. I když byli tví rodiče bohatší než většina ostatních a dopřáli ti to nejlepší vzdělání, které si mohli dovolit, při věčném cestování ti scházela příležitost najít si přátele. Mezi tvé nejšťastnější okamžiky patřily ty, kdy se ti podařilo někomu něco prodat.
qstr_As_a_child_your_fami|Tvá rodina stěží přežívala ze mzdy tvého otce, který pracoval jako strážce u místního lorda. Nebyl to snadný život a byli jste příliš chudí, než aby ti rodiče mohli dopřát řádné vzdělání. Z této doby umíš především ubránit se v pouličních rvačkách, ať už se zbraní či bez ní.
qstr_{reg3?daughter:son}|{reg3?dcera:syn}
qstr_You_were_the_{reg3?d|Jsi {reg3?dcerou:synem} rodiny, která žila osaměle v lesích a na živobytí si vydělávala všelijak. Lovem, dřevorubectvím, výrobou šípů a někdy i trochou pytlačení, pokud bylo opravdu bídně. Zimy bývaly vždy krušné, protože chlad bral životy zvířatům i lidem, ale vždycky se ti podařilo přežít do jara, byť spousta tvých bratrů a sester takové štěstí neměla.
qstr_You_were_a_child_of_|Jsi dítětem stepi. Pocházíš z kmene kočovných nomádů, kteří žili na velkých tábořištích po širých vyprahlých pláních. Stejně jako ostatní lidé z kmene si i tvá rodina vážila téměř nade vše dobrých koní, na kterých tě naučili jezdit skoro dřív než chodit.
qstr_As_the_{reg3?daughte|Jako {reg3?dceři:synovi} zloděje se ti dostalo jen velmi málo 'formálního' vzdělání. Spoustu času ti zabralo potloukání po ulicích a žebrání, takže umíš jak odřezávat měšce, tak otevírat zámky paklíči. Tak uplynulo tvé dětství. Tato dlouhá tvrdá léta tě ovšem dokonale naučila životu na ulici a díky tomu znáš všechna tajemství měst a temných uliček.
qstr_As_a_{reg3?girl:boy}|Coby {reg3?dívku:chlapce} tě poslali bydlet ke dvoru jednoho ze šlechticů. Tam tě nejdříve při věčném čekání na místní lordy a dámy naučili pokoře. Ale z jejich her v šachy, klepů a dokonce i z balad o velikých činech a věrné lásce ti nedalo moc velkou práci pochopit, jak funguje dospělácký svět sporů a konkurence. Poučily tě také drsné hry s ostatními dětmi, které se navzájem bily holemi, jimiž napodobovaly meče svých rodičů a příbuzných.
qstr_As_a_{reg3?girl:boy}_|Coby {reg3?dívku:chlapce} tě poslali do učení k jednomu z místních mistrů, který tě měl vyučit řemeslu. Po několika letech tvrdé práce a studia tě mistr povýšil na tovaryše a zaměstnal tě jako regulérně {placeného řemeslníka/placenou řemeslnici} na tak dlouho, jak budeš chtít.
qstr_As_a_{reg3?girl:boy}_g|Jako {reg3?dívku:chlapce} tě poslali do učení k bohatému kupci. Po několika letech strávených v obchodech, cestováním s karavanami a učením se obchodním zvyklostem se ti podařilo osvojit si umění nakoupit levně a draze prodat a ještě zákazníka přesvědčit o tom, že lepší obchod uzavřít ani nemohl.
qstr_As_a_{reg3?girl:boy}_gr|Jako odrůstající {reg3?dívka:chlapec} ses {vydal/vydala} do ulic a {dělal/dělala} jsi všechno, co je nutné pro přežití. Krádeže, žebrání a drobné práce pro různé bandy, to všechno byly možnosti, které ti přišly vhod, když sis {potřeboval/potřebovala} vydělat na chleba. To bylo tvé mládí, život ze dne na den v tomto světě plném násilí, vždy jen jediný krok před zákonem a těmi, kteří ti přáli jen to nejhorší.
qstr_As_a_{reg3?girl:boy}_gro|Jako {reg3?dívku:chlapce} tě ze všeho nejvíc bavilo jezdit po rozlehlých stepích na svém vlastním koni a učit se, jak přežít v nehostinné poušti. I když čas od času nebylo co jíst, podařilo se ti dospět v dovedného lovce, který vždy dokáže v nekonečné pustině najít tu správnou cestu. Tvé tělo se brzy zpevnilo svaly, nezbytnými pro život {reg3?ženy:muže} mezi nomády.
qstr_{reg3?daughter:man}|{reg3?dcera:muž}
qstr_Though_the_distincti|I když se ti ten rozdíl zdál velmi náhlý, někde v průběhu tvé cesty tě potkala změna na {reg3?ženu:muže} a celý svět kolem tebe je úplně jiný. Po jmenování panošem u šlechtického dvora jsi dlouhé hodiny {cvičil/cvičila} s zbraněmi, {učil/učila} ses jak uštědřovat tvrdé rány a rovněž jak je přijímat. Poučili tě o závazcích ke svému lordu a o povinnostech vůči těm, kteří se jednoho dne mohou stát tvými vazaly. Ale kromě učení rytířským ideálům ses také {dozvěděl/dozvěděla} o méně povznášející stránce tohoto života -- {naslouchal/naslouchala} jsi mnoha příběhům starých rytířů o bezohledné politice, zradách a uchvatitelích, o mužích, kteří využívali k dosažení svých cílů kromě odvahy i podvodu.
qstr_{reg3?woman:man}|{reg3?ženu:muže}
qstr_Though_the_distinctio|I když se ti ten rozdíl zdál velmi náhlý, někde v průběhu tvé cesty tě potkala změna na {s13} a celý svět kolem tebe je úplně jiný. Připojila ses k úzkému kruhu dvorních dam, žen, které se všechny zabývaly vznešenými věcmi, k ženám a milenkám vznešených mužů i k dívkám, které si teprve hledaly manžela. I tady jsi ovšem nalezla politiku, protože dámy pletichařily, zavile mezi sebou bojovaly a snažily se ukořistit pohledy nezadaných mužů, kteří se u dvora pohybovali. Brzy ses naučila tyto situace rozpoznat a využít jich ve vlastní prospěch. Záhy jsi zjistila, že s trochou důvtipu a lstivosti bys i ty sama mohla získat ve světě značnou moc a vliv. 
qstr_Though_the_distinction|I když se ti ten rozdíl zdál velmi náhlý, někde v průběhu tvé cesty tě potkala změna na {s13} a celý svět kolem tebe je úplně jiný. Rozhodnutí pro tebe nebylo obtížné: {chtěl/chtěla} ses vydat do světa na vlastní pěst, jen se svým nástrojem přehozeným přes rameno a vlastním hlasem. Bylo to chudobné bytí a když lidé neocenili tvé umění, často ti nezbylo než jít spát s kručícím žaludkem. Podařilo se ti však přežít jen s pomocí své hudby. Jak roky ubíhaly, {vyrostl/vyrostla} z tebe {odborník/odbornice} na hudbu pro opilé davy v tavernách a především díky tomu umíš vymámit z kohokoliv to, co chceš.
qstr_Though_the_distinction_|I když se ti ten rozdíl zdál velmi náhlý, někde v průběhu tvé cesty tě potkala změna na {reg3?ženu:muže} a celý svět kolem tebe je úplně jiný. Rozhodnutí pro tebe nebylo obtížné: {chtěl/chtěla} jsi vstoupit coby {student/studentka} na univerzitu v jednom z velkých měst a studovat teologii, filozofii a lékařství. Ale ne všechny vědomosti máš z přednáškových síní. Často tě spolužáci zlákali k toulkách ulicemi, kde jste hledali dobré víno, veselou společnost a {ženy/dobrodružství}. Díky tomu moc dobře víš, jak nejrychleji spravit zlomenou čelist, a umíš přesvědčit rozzuřeného měšťana, aby odložil palici a přijal namísto toho finanční náhradu za zničený obchod.
qstr_Though_the_distinction_f|I když se ti ten rozdíl zdál velmi náhlý, někde v průběhu tvé cesty tě potkala změna na {s13} a celý svět kolem tebe je úplně jiný. {Rozhodl/Rozhodla} ses uposlechnout volání cesty a {putoval/putovala} jsi od vesnice k vesnici, přičemž jsi {nakupoval/nakupovala} a {prodával/prodávala} vše, co je k mání. Není to nijak bohatý život, ale {stal/stala} ses tak mistrem ve smlouvání a i ti nejlakomější lidé ti vždy dobře zaplatí. Brzy jsi {zjistil/zjistila}, že máš dobrou průpravu k vybudování své vlastní obchodní říše.
qstr_Though_the_distinction_fe|I když se ti ten rozdíl zdál velmi náhlý, někde v průběhu tvé cesty tě potkala změna na {s13} a celý svět kolem tebe je úplně jiný. {Rozhodl/Rozhodla} ses stát se {kovářem/kovářkou}. Každý den z jednoduchého kovu vyrábíš praktické i oko těšící předměty. Časem se z tebe {stal/stala} {mistr/mistryně} tvého řemesla a za svou dobrou práci jsi {dostával/dostávala} dobré odměny. S plným žaludkem a nohama v teple se konečně můžeš těžit ze své práce a skvělé pověsti.
qstr_Though_the_distinction_fel|I když se ti ten rozdíl zdál velmi náhlý, někde v průběhu tvé cesty tě potkala změna na {s13} a celý svět kolem tebe je úplně jiný. Opovrhujíc zoufalou honbou všech obyčejných lidí po penězích ses {odebral/odebrala} do lesů místního lorda a {rozhodl/rozhodla} ses pomoci si k blahobytu, zákon nezákon. {Lovil/Lovila} jsi jeleny, divočáky a husy a {prodával/prodávala} jsi maso na černém trhu. {Porážel/Porážela} jsi stromy strážcům přímo pod nosem a {vyráběl/vyráběla} jsi z nich dříví na otop, které během mrazivých zim zahřálo spoustu rodin. To vše jen za trochu stříbra, jak jinak.
qstr_Only_you_know_exactl|Nikdo jiný než ty přesně neví, co tě přimělo vzdát se starého života a stát se dobrodruhem. Ale protože ve tvém srdci hořel jasným plamenem hněv, nebylo zase tak těžké odejít. Chceš pomstu. Chceš spravedlnost. To, co bylo vykonáno, už nelze vzít zpět, a některé dluhy nelze splatit jinak než krví...
qstr_Only_you_know_exactly|Nikdo jiný než ty přesně neví, co tě přimělo vzdát se starého života a stát se dobrodruhem. Většinou říkáš, že už prostě nešlo zůstat, ne když jsou vzpomínky na tvé milované tak bolestivé a tak blízko. Možná ti nový život dovolí zapomenout nebo uctít jméno, které už nedokážeš vyslovit...
qstr_Only_you_know_exactly_|Nikdo jiný než ty přesně neví, co tě přimělo vzdát se starého života a stát se dobrodruhem. Vlastně si ani nevzpomínáš, kdy se ti domov stal vězením, když se známé věci staly nudnými. Tvé sny o cestování prostě zvítězily. Ať už toužíš po vzdálených krajích nebo jen po nekonečné cestě a svobodě putování, už nedokážeš zůstat na stejném místě. Všechno necháváš za sebou a už se nevrátíš...
qstr_Only_you_know_exactly_w|Nikdo jiný než ty přesně neví, co tě přimělo vzdát se starého života a stát se dobrodruhem. Víš ale, že se nemůžeš vrátit. Nemáš se k čemu vrátit. Ať už byl tvůj domov jakýkoliv, teď je pryč. A bez cizí pomoci buď půjdeš ke dnu, nebo se naučíš plavat...
qstr_Only_you_know_exactly_wh|Nikdo jiný než ty přesně neví, co tě přimělo vzdát se starého života a stát se dobrodruhem. Všem ostatním se zdá být jasné, že tě žene jen touha po osobním prospěchu. Láká tě moc, bohatství a respekt. Chceš být tím, kterého musí ostatní poslouchat. Chceš, aby lidé znali tvé jméno, a třásli se kdykoliv jej uslyší. Chceš všechno a nedovolíš nikomu, aby ti zabránil to získat...
qstr_Back_to_the_beginnin|Zpátky na začátek...
qstr_View_next_segment...|Prohlédnout si další část...
qstr_^No_food:___{reg7}|^Žádné jídlo:  -{reg7}
qstr_^Wage_debt:___{reg6}|^Dlužná mzda:  -{reg6}
qstr_Appoint_next_marshal|Jmenovat dalšího maršála
qstr_Award_{s12}_as_fief|{s12} - udělit jako léno
qstr_No_one|Nikdo 
qstr_Selected_faction_is:|Vybraná frakce je: {s10}^^{s9}
qstr_You_are_currently_re|Právě čteš knihu {s8}.
qstr_You_are_not_reading_|Nečteš žádné knihy.
qstr_none|žádný
qstr_{s5}_and_{s6}|{s5} a {s6}
qstr_Your_estates_are:_{s|Tvé jmění je: {s8}.^{s9}
qstr_Current_party_size_l|Stávající omezení velikosti družiny je {reg5}.^Stávající modifikátory velikosti družiny jsou:^^Základní velikost:  +30^Velení: {s2}{reg1}^Charisma: {s3}{reg2}^Sláva: {s4}{reg3}^CELKEM:  {reg5}
qstr_Loyal|Věrný
qstr_Devoted|Oddaný
qstr_Fond|Loajální
qstr_Gracious|Blahosklonný
qstr_Friendly|Přátelský
qstr_Supportive|Podporující
qstr_Favorable|Nakloněný
qstr_Cooperative|Spolupracující
qstr_Accepting|Přijímající
qstr_Indifferent|Neutrální
qstr_Suspicious|Podezíravý
qstr_Grumbling|Reptající
qstr_Hostile|Nepřátelský
qstr_Resentful|Záštiplný
qstr_Angry|Rozzlobený
qstr_Hateful|Nenávistný
qstr_Revengeful|Pomstychtivý
qstr_Vengeful|Mstivý
qstr_Your_relation_with_t|Tvůj vztah s frakcemi je:^{s2}
qstr_Player_renown_is_inc|Sláva hráče vzrostla o 100 bodů. 
qstr_Player_honor_is_incr|Hráčova proslulost se o 1 zvýšila a nyní činí {reg7}.
qstr_{reg1}_{s1}_{reg2?ac|{reg1} {s1} {reg2?přijímají:přijímá} nabídku.
qstr_No_one_accepts_the_o|Nikdo tuto nabídku nepřijal.
